Name,Submission Link,DR,Pricing,Monthly Visits,link,Price
G2,https://www.g2.com/products/new,98,Free,3.2M,,
BasedTools,https://buy.stripe.com/5kA2ax0aD7b93bG3cc?ref=aidirectories,93,Paid,22000,https://basedtools.ai?ref=aidirectories,$59.00 
Source Forge,https://sourceforge.net/software/vendors/new?ref=aidirectori.es,92,Free,2.5M,,
AI Tools Neil Patel,https://aitools.neilpatel.com/submit/?ref=aidirectori.es,91,Free,6K,,
AI Infinity,https://forms.gle/Ze6pdWzmweCfKWnLA,90,Free,2K,,
Startup88, https://startup88.typeform.com/to/CRjWqM,88,Free,1000,,
FinancesOnline,https://financesonline.com/add-product/?ref=aidirectories,87,Free,1.5M,,
F6S,https://www.f6s.com/?ref=aidirectori.es,86,Free,1600000,https://www.f6s.com/?ref=aidirectori.es,
Your Story,https://eu.frms.link/g4juley/?ref=aidirecori.es,86,Free,"
8.5M",,
AppSumo,https://appsumo.com/,82,Paid,3.3M,https://appsumo.com/,
Crunchbase,https://www.crunchbase.com/add-new/?ref=aidirectori.es,80,Free,10M,https://www.crunchbase.com/?ref=aidirectori.es,
AlternativeTo,https://alternativeto.net/manage-item/?ref=aidirectori.es,80,Free,1.3M,,
Stackshare,https://stackshare.io/submit/?ref=aidirectories,79,Free,1.6M,,
Alternative,https://alternative.me/how-to/submit-software/,77,Free,2.0M,https://alternative.me/,
Webwiki,https://www.webwiki.com/info/add-website.html,77,Free,15K,,
Software Suggest,https://www.softwaresuggest.com/artificial-intelligence-software,77,,561000,https://www.softwaresuggest.com/,
EU Startups,https://www.eu-startups.com/directory/?wpbdp_view=submit_listing,76,Free,323K,https://www.eu-startups.com,
Digital Agency Network,https://digitalagencynetwork.com/join-free-listing-tools/,76,Free,528K,,
Product Hunt,https://www.producthunt.com/posts/new,75,Free,6.0M,https://www.producthunt.com/,
Software World,https://www.softwareworld.co/vendor/listing/create/,75,Free,65000,https://www.softwareworld.co/,
There is an AI for that,https://theresanaiforthat.com/get-featured/#opt_submit?via=aidirectories,74,Paid,3.2M,https://theresanaiforthat.com/?via=aidirectories,https://theresanaiforthat.com/get-featured/#submit_tool_info
Crozdesk,https://vendor.softwareselect.com/,74,,200K,https://crozdesk.com/,
SaasWorthy,https://www.saasworthy.com/offerings,72,Free,172000,,
Whatsthebigdata,https://whatsthebigdata.com/submit-new-ai-tool/,72,Paid,2.7M,,"Basic Listing $299, Featured Listing $599
"
Getlatka,https://getlatka.com/saas-companies?ref=aidirectories,71,Free,20000,,
Serchen,https://www.serchen.com/,71,Paid,129000,,$9.99 
Sitelike,https://www.sitelike.org/add-site/?ref=aidirectori.es,70,Free,1.3M,,
Beta List,https://betalist.com/submissions/new,70,Free,180k,https://betalist.com/,
SaasHub,https://www.saashub.com/submit,68,Free,1.6M,https://www.saashub.com/,
SideProjectors,https://www.sideprojectors.com,67,Free,52600,,
Startup Ranking,https://www.startupranking.com/startup/create/url-validation?ref=aidirectori.es,67,Free,25k,,
Startup Stash,https://startupstash.com/add-listing/,65,Paid,370K,https://startupstash.com/,$199/year and $399/year
Toolify.ai,https://www.toolify.ai/login?from=%2Fsubmit,64,Paid,340K,https://www.toolify.ai/,$99 
Submission Web Directory,https://www.submissionwebdirectory.com/submit.php,64,Free,10K,https://www.submissionwebdirectory.com/,
SoMuch,https://somuch.com/submit-links/,64,Free,10600,https://somuch.com/,
Pitchwall,https://pitchwall.co/product/submit?ref=aidirectories,64,Free,59000,,
All Top Startups,https://alltopstartups.com/submit-startup/,63,Paid,70K,https://alltopstartups.com/,$29 
Futurepedia,https://www.futurepedia.io/basic,62,Paid,5.0M,https://www.futurepedia.io/,
eBool,https://www.ebool.com/submit,61,Paid,25K,https://www.ebool.com/,$59 
Marketing Internet Directory,https://www.marketinginternetdirectory.com/submit.php,61,Free,,,
Dang AI,https://dang.ai/,60,Paid,32K,https://dang.ai/,
GPTs Hunter,https://www.gptshunter.com/submit-gpt?ref=aidirectori.es,59,Free,400000,https://www.gptshunter.com/?ref=aidirectori.es,
Top AI tools,https://topai.tools/submit?aff=8Mjlz,58,Paid,2M,https://topai.tools/,"Fast Track $45, Boosted $229 "
KitPloit,https://www.kitploit.com/p/submit-tool.html?ref=aidirectories,57,Free,2.5M,,
Afford Hunt,https://www.affordhunt.com/submit,56,Free,80k,https://www.affordhunt.com/,
Business Software,https://www.business-software.com/add-your-product/,55,Free,100K,https://www.business-software.com/,
Tekpon,https://tekpon.com/get-listed/,54,Paid,134K,,
AITOOLS,https://aitools.inc/submit,53,Free,,,
FiveTaco,https://fivetaco.com/submit,53,Free,106000,,
Dev Hunt,https://devhunt.org/account/tools/new,53,Paid,65K,,
Easy with AI,https://easywithai.com/submit-tool/,53,Paid,922k,https://easywithai.com/,$79.99 
uneed,https://www.uneed.best/submit-a-tool,52,Free,,,
Launching Next,https://www.launchingnext.com/submit/,51,Free,13000,,
Tool Pilot,https://www.toolpilot.ai/pages/submit-your-ai-tool,51,Free,600K,https://www.toolpilot.ai/,
"

Startup Base",https://startupbase.io/submissions/start?ref=aidirectori.es,50,Free,3000,,
Thttp://tooldirectory.ai/submit-tool?ref=aidirectori.es,tooldirectory.ai/submit-tool?ref=aidirectori.es,50,Paid,4K,tooldirectory.ai,
AI top tools,https://aitoptools.com/?ref=aidirectories,48,Paid,260K,https://aitoptools.com/?ref=aidirectories,$69 
TechPluto,https://www.techpluto.com/submit-startup?ref=aidirectori.es,47,Free,,,
EZWeb Directory,http://ezwebdirectory.com/item/new,47,Free,3500,http://ezwebdirectory.com,
Ismailblogger,https://ismailblogger.com/submit-tools/?ref=aidirectori.es,46,Free,10K,,
Future Tools,https://www.futuretools.io/submit-a-tool,44,Free,3.0M,https://www.futuretools.io/,
Uneed Best,https://www.uneed.best/promote-your-tool?aff=8Mjlz,44,Paid,252K,https://www.uneed.best/?aff=8Mjlz,$30 
Appscriber,https://appscribed.com/product-list/?ref=aidirectori.es,44,Paid,42100,https://appscribed.com/,"Get Featured Traffic Forever $49, Boost - 7 Days $99, Boost - 30 Days $199"
Tiny Startups,https://tally.so/r/wMzP8X,44,Free,10000,https://www.tinystartups.co/?ref=aidirectori.es,
StartupTracker,https://startuptracker.io/crowdsourcing/,44,Free,12500,,
Hacker News,https://hackernews.com/,44,Free,300K,https://hackernews.com/,
https://aitools.fyi/,https://aitools.fyi/submit,43,Paid,500K,https://aitools.fyi/,"$
30"
Find My AI Tool,https://findmyaitool.com/submit-tool?ref=aidirectori.es,42,Paid,69000,https://findmyaitool.com/?ref=aidirectori.es,"Basic Plan List Your Tool
$79.99,  Featured PlanSponsor Your Tool $99.99, Standard PlanList & Sponsor Your Tool $199.99"
Ben’s Bites News,Amaete AI,41,Paid,N/A,https://news.bensbites.co/,
100L5,https://10015.io/product-finder/submit,41,Free,,,
Startup Pitch,https://thestartuppitch.com/post-a-pitch/,40,Paid,<5K,,"Pro Startup £40.00, Startup £20.00, Hobby Startup £4"
Toolio AI,https://toolio.ai/submit-a-tool?ref=aidirectories,40,Paid,23000,https://toolio.ai/?ref=aidirectories,$9.99 
Insidr AI,https://www.insidr.ai/submit-tools/,40,Free,150k,https://www.insidr.ai/,
Startup Buffer,https://startupbuffer.com/site/submit,39,Free,16K,https://startupbuffer.com/,
Ben's Bites News,https://news.bensbites.com/submit,39,Free,13K,,
AlterOpen,https://alteropen.com/submit/pack?ref=aidirectori.es,39,Free,2000,https://alteropen.com/?ref=aidirectori.es,
Resource fyi,https://resource.fyi/account/submit/?ref=aidirecori.es,39,Free,5k,,
AI scout,https://aiscout.net/submit-listing/details/,38,Paid,100,https://aiscout.net/,"Submit Listing $50, Submit Premium Listing $300
"
Aixploria,https://www.aixploria.com/en/add-ai/?ref=aidirectories,38,Paid,584K,,"Fast Listing $79, Verified Listing  $279, Featured $399"
AI Library,https://library.phygital.plus/tool-submission?ref=aidirectories,38,Free,255K,https://library.phygital.plus/?ref=aidirectories,
ToolsFine,https://tally.so/r/3qVzOG,38,Free,34K,,
Launched,https://launched.io/SubmitStartup,38,Free,2.4K,https://launched.io/,
AI tool hunt,https://www.aitoolhunt.com/addTool,38,Paid,80K,https://www.aitoolhunt.com/,$25 
Dockey AI,https://dokeyai.com/submit?ref=aidirecotri.es,37,Free,3900,https://dokeyai.com/?ref=aidirecotri.es,
AI Center,https://aicenter.ai/products/submit,35,Paid,5K,https://aicenter.ai/,"$5, $25, $49"
BroUseAI,https://www.brouseai.com/submission/ai,35,Free,31000,,
Paggu,https://www.paggu.com/submit-your-startup/,35,Free,1000,,
PromoteProject,https://www.promoteproject.com/login,34,Free,5000,,
Saas AI Tools,https://saasaitools.com/submit/,33,Free,73000,https://saasaitools.com/,
AllStartups Info,https://www.allstartups.info/Startups/Submit?ref=aidirectories,33,Free,17K,https://www.allstartups.info/?ref=aidirectori.es,
Crazy About Startups,https://crazyaboutstartups.com/share-your-startup-2,33,Free,5K,https://crazyaboutstartups.com/,
"

Robingood",https://tools.robingood.com/?ref=aidirecori.es,33,Free,5600,,
Anyfp,https://anyfp.com/contact/?ref=aidirectori.es,33,Free,1000,https://anyfp.com/?ref=aidirectori.es,
Startup Lister,https://startuplister.com/?utm_source=aidirectori.es,33,Free,,,
Victrays,https://victrays.com/submit-tool/,33,Paid,5K,https://victrays.com/,"Listing $9, Premium Listing $24.94, Premium Listing + Promotion $497"
That AI Collection,https://www.thataicollection.com/submit/,32,Free,34000,https://github.com/ai-collection/ai-collection,
https://www.notion.so/8c482533894a47eabf4e095ac1e7a0bd?pvs=21,https://fazier.com/,31,Paid,36K,https://fazier.com/,"Get featured in newsletter - $19 $39, Premium product - $39 $59, Submission to 50+ directories - $99 $149"
Open Future,https://openfuture.ai/submit-tool?ref=aidirectori.es,31,Free,496K,https://openfuture.ai/?ref=aidirectori.es,
GPTE,https://gpte.ai/submit-a-tool/?ref=aidirectories,31,,1400000,https://gpte.ai/?ref=aidirectories,
Altern AI,https://altern.ai/dash/submit?ref=aidirectori.es,31,Paid,180000,,
AI Tool guru,https://aitoolguru.com/submit-ai-tool,31,Free,27K,https://aitoolguru.com/?ref=aidirectori.es,
Post Make,https://postmake.io/submit,31,Paid,10K,https://postmake.io/,$49 
DEV Resources,https://github.com/marcelscruz/dev-resources,31,Free,2.7K,https://devresourc.es/,
AI Search,https://ai-search.io/submit,31,Paid,4K,https://ai-search.io,$99 
1000tools,https://1000.tools/my/tools/create,30,Paid,10K,https://1000.tools/,"$1 $5.99/month, $59.99 $69.99/year"
Mars AI directory,https://www.marsx.dev/ai-startups,30,Free,90K,https://www.marsx.dev/ai-startups,
ChatGPT demo,https://chatgptdemo.com/submit-new-ai-tool/?ref=aidirectori.es,30,Free,400K,https://chatgptdemo.com/,
AppsHunter,https://appsthunder.com/submit-your-app/?ref=aidirectori.es,30,Paid,5K,https://appsthunder.com/?ref=aidirectori.es,"
A priority review : $ 29, Network Review ( Unique Review in 10 Websites ) : $249"
Apps Hunter,https://appsthunder.com/submit-your-app/,30,Paid,5k,,"A priority review : $ 29, Network Review ( Unique Review in 10 Websites ) : $249"
Ankore,https://ankore.io/submit/?ref=aidirectori.es,29,Paid,1500,https://ankore.io/?ref=aidirectori.es,
Saas Po,https://www.saaspo.com/submit?ref=aidirectori.es,29,Free,69K,,
What the AI,https://whattheai.tech/submit-a-tool/,28,Free,50000,https://whattheai.tech/,
Open Tools,https://opentools.ai/?ref=aidirectories,27,Paid,91K,https://opentools.ai/?ref=aidirectories,$97 
Gate2AI,https://www.gate2ai.com/submit-tool?ref=aidirectories,27,Free,129K,,
DoMore,https://domore.ai/submit-tool,27,Paid,45K,https://domore.ai/,"Pro Listing (lifetime) : $30, Pro Listing (lifetime) + Boost (14 days) : $70"
TipSeason,https://tipseason.com/ai-tools/submit?ref=aidirectori.es,27,Free,30000,,
Next Gen Tools,https://nextgentools.me/submit-your-tool?ref=aidirecories,27,Free,47K,https://nextgentools.me/,
All things AI,https://allthingsai.com/submit?ref=aidirectories,27,,500000,https://allthingsai.com/?ref=aidirectories,
AI Lib,https://ailib.ru/,26,Paid,119K,https://ailib.ru/?ref=aidirectori.es,
Favird,https://favird.com/?ref=aidirectori.es,26,Free,30000,,
Dev Pages,https://www.devpages.io/submit-a-tool,26,Free,50K,https://www.devpages.io/,
THE NEXT AI TOOL,https://thenextaitool.com/,26,Free,,,
Early Tools,https://www.early.tools/submit,26,Free,,,
RayDay,https://raiday.ai/submit-ai-tool/,25,Free,134000,https://raiday.ai/,
Promptzone,https://www.promptzone.com/new,25,Free,,,
Startup Stage,https://startupstage.app/startups/new?ref=aidirectori.es,25,Free,3000,https://startupstage.app/?ref=aidirectori.es,
GptDemo.net,https://www.gptdemo.net/gpt/add-tool,25,Free,,,
Bestwebsites,https://bestwebsites.info/en/submit,25,Free,,,
Educator Tools,https://docs.google.com/forms/d/e/1FAIpQLSdXXbiHAdQTWUSzLvU6xw-asbIoppIiQo0W9PuZLw2DnkhKew/viewform?usp=send_for,25,Free,131000,,
Startups fyi,https://tally.so/r/3lOGLk,25,Free,13000,https://www.startups.fyi/?ref=aidirectori.es,
BestOfAI,https://bestofai.com/tool/add,25,Free,1K,https://bestofai.com/,
AI Valley,https://aivalley.ai/submit-tool/?ref=aidirectories,25,Free,230K,,
Joinly,https://www.joinly.xyz/submit-startup,25,Paid,5000,https://ismailblogger.com/tools-ai/?ref=aidirectori.es,"Basic $2.99, Professional
$5.99, Premium
$49.99"
JOINLY,https://joinly.xyz/submit-startup,24,Paid,,,
SaaS Surf,https://saassurf.com/submit-a-product#submit,24,Paid,31K,,"$9 per month, $29 per month, $99 per month"
Lachief,https://tally.so/r/w4Jb4b,23,Free,266K,,
FunFun Tools ,https://www.funfun.tools/submit-tool,23,Paid,45K,,"Summer Discount$99
$49"
AI Mojo,https://aimojo.io/submit/,23,Free,,,
Simple Lister,https://simplelister.com/submit,23,Free,,,
Toolspedia,https://www.toolspedia.io/submit-tool/,22,Paid,26000,https://www.toolspedia.io/,$59 USD
Startup Collections,https://startupcollections.com/submit-product/?ref=aidirectories,22,Free,5000,https://startupcollections.com/?ref=aidirectories,
The AI Library,https://www.theailibrary.co/account/tools/new,21,Free,19.3K,https://www.theailibrary.co/,
Startup Roulette,https://startuproulette.com/promote-my-startup,21,Free,0,https://startuproulette.com/?ref=aidirectories,
Apps and Websites,https://landing.mycloudmedia.co.uk/apps-and-websites-submit-ai-or-saas-tool/new-submission.html?ref=aidirectori.es,21,Free,<5K,,
Advanced Innovation,https://www.advanced-innovation.io/ki-tool-einreichen?ref=aidirectories,20,Free,25K,https://www.advanced-innovation.io/?ref=aidirectories,
Super Tools,https://supertools.therundown.ai/submit,20,Free,380k,https://supertools.therundown.ai/,
Unloc.tools,https://www.unloc.tools/submit-tool,20,Paid,1K,,
"Micro Launch
",https://tally.so/r/mYaR6N,19,Free,60K,https://microlaunch.net/,
BPLDIRECTORY.info,https://blpdirectory.info/submit.php?LINK_TYPE=2,19,Free,,,
ChatGate AI,https://chatgate.ai/submit-your-tool/,18,Free,<5K,,
AI Tool Board,https://aitoolboard.com/submit-ai-tool,18,Paid,7K,https://aitoolboard.com/,"Standard $75, Featured $200"
Site-Plus,https://www.sites-plus.com/submit?c=96&LINK_TYPE=9,18,Free,,,
AI Dude Info,https://aidude.info/submit-your-tool?ref=aidirectories,17,Paid,84.7K,https://www.aiwizard.ai/?ref=aidirectories,$19.99 
Critiqs AI,https://critiqs.ai/submit-new-ai-tool/?ref=aidirectori.es,17,Free,2000,https://critiqs.ai/?ref=aidirectori.es,
Pay Once Alternatives,https://payoncealternatives.com/submit,16,Free,,,
Drop Your AI,https://www.dropyourai.com/submit-tool/?ref=aidirectori.es,16,Paid,6800,https://www.dropyourai.com/?ref=aidirectori.es,
PayOnceApps,https://payonceapps.com/add-your-app/,16,Free,,,
AI trendz,https://aitrendz.xyz/submit-ai-link/?ref=aidirectories,16,Paid,90,https://aitrendz.xyz/?ref=aidirectories,"29,99 €"
AI to Grow,https://aitogrow.com/#send-your-tool/?ref=aidirectories,15,Free,5K,,
Tools.so,https://tools.so/submit,15,Free,N/A,https://tools.so/,
AI Wizard,https://www.aiwizard.ai/submit?ref=aidirectories,15,Paid,5K,https://www.aiwizard.ai/?ref=aidirectories,"€100, €500"
AppRater,https://apprater.net/add/,15,Free,,,
riseofmachine,https://docs.google.com/forms/d/e/1FAIpQLSf_bdfoMR7WkMfqWa4zDfBIFrYhz12lQCBWQHFlZ9UewHhzgg/viewform,14,Free,,,
Gpt Forge,https://forms.gle/8h1SokDHfcPwkbaZ8,14,Free,41K,https://gptforge.net/,
AI Stash,https://www.aistash.co/submit-tool,14,Paid,15K,https://www.aistash.co/,$29 
AI tools for Marketing,https://airadar.getinference.com/,14,Free,50k,https://airadar.getinference.com/?ref=aidirectori.es,
Wailworld,https://waildworld.com/,13,Free,,,
Buffer Apps,https://www.bufferapps.com/beta-listing/new?ref=aidirectori.es,13,Paid,<5K,,
Tool Battles,https://toolbattles.com/submit-product/,12,Free,,,
AI Marketing,https://aimarketing.directory/submit,12,Free,9.6K,https://aimarketing.directory/?ref=aidirectori.es,
http://alternatives.co/,https://alternatives.co/software/ai-tools/,12,,19K,https://alternatives.co/software/ai-tools/,
NextGenTool,https://nextgentool.io/submit/?ref=aidirecories,12,Free,300,,
Live Apps,https://liveapps.ai/become-a-partner/?ref=aidirectori.es,12,Free,500,https://liveapps.ai/?ref=aidirectori.es,
Tool Battles,https://toolbattles.com/submit-product/,12,Paid,NA,https://toolbattles.com/,
AI Depot,https://aidepot.co/?ref=aidirectories,11,Free,30K,,
The ai Generation,https://www.theaigeneration.com/add/,11,Free,77K,https://www.theaigeneration.com/,
Disrupt 500,https://www.disrupt500.com/submit-your-tool/,11,Paid,,,
Warehouse AI,https://www.thewarehouse.ai/product-submission,11,Paid,15K,https://www.thewarehouse.ai/,"Standard Package: $450.00, Plus Package: $650.00, Premium Package: $750.00"
Nextpedia,https://www.nextpedia.io/submit-tool/?ref=aidirecories,11,Free,8000,,
The AI Warehouse,https://inside.thewarehouse.ai/submissions?ref=aidirectories,11,Paid,6000,https://www.thewarehouse.ai/?ref=aidirectories,"Standard Package: $450.00, Plus Package: $650.00, Premium Package: $750.00"
AI Tools Hunter,https://ai-hunter.io/submit-ai-tool/,11,Free,25K,https://ai-hunter.io/?ref=aidirectori.es,
Tools Nocode,https://www.toolsnocode.com/ai#form1,10,Paid,5K,https://www.toolsnocode.com/ai,
AI Directory,https://www.aidirectory.org/user-submit/,10,Free,5.7K,,
Best AI Tools,https://www.startupaitools.com/submit-ai-tools/,10,Free,900,https://www.startupaitools.com/,
AI Tool Net,https://www.aitoolnet.com/submit,10,Free,21K,https://www.aitoolnet.com/?ref=aidirectori.es,
ToolScout,https://toolscout.ai/submit,10,Free,23K,https://toolscout.ai/,
Flip Bytes,https://www.flipbytes.com/?ref=aidirectori.es,10,,70,https://www.flipbytes.com/?ref=aidirectori.es,
Digi Pro Tools,https://digiprotoolz.com/contact-us/,10,,17K,https://digiprotoolz.com/,
Faind AI,https://faind.ai/submit-a-tool/,10,Free,5K,https://faind.ai/,
AI tools directory,https://aitoolsdirectory.com/submit-tool,10,Free,25K,https://aitoolsdirectory.com/?ref=aidirectori.es,
The Hack Stack,https://thehackstack.com/,10,Free,5000,https://thehackstack.com/,
Chat AI Apps,https://www.chataiapps.com/,10,,5k,https://www.chataiapps.com/,
GPT Academy,https://www.gptacademy.co/submit,9,Paid,24K,https://www.gptacademy.co/,$7.99 
Tools AI Online,https://www.tools-ai.online/tool-submit?ref=aidirectories,8,Free,67K,,
AI Top Rank,https://www.aitoprank.com/,8,Free,5k,https://www.aitoprank.com/,
AI Tools Arena,https://aitoolsarena.com/,8,Free,700,https://aitoolsarena.com/,
Tool AI,https://toolai.io/Login?ReturnUrl=%2Fen%2Fsubmit%3Fref%3Daidirectories,7,Free,75000,https://toolai.io/?ref=aidirectories,
Easy Save AI,https://easysaveai.com/submit-your-ai-tool/,7,Paid,245,https://easysaveai.com/,"€ 14,99"
Every AI,https://every-ai.com/submit-tool/,7,Free,100,https://every-ai.com,
Igniter,https://haroonchoudery499974.typeform.com/to/FpdvtLml?typeform-source=www.igniter.ai,7,,100,https://www.igniter.ai/,
Look AI Tools,https://lookaitools.com/submission-service/?ref=aidirectori.es,6,Free,130,https://lookaitools.com/?ref=aidirectori.es,
1payment Tools,https://1payment.tools/login,6,Paid,1K,https://1payment.tools/?ref=aidirectori.es,"$1 $4.79 / month, $47.79 $59 / annual, $97.79 / ∞"
Under1000MRR.tools,https://under1000mrr.tools/login,6,Paid,500,https://under1000mrr.tools/,"€2.99
one-time payment"
MadGenius,https://madgenius.co/submit,5,Paid,5000,https://madgenius.co/,"$69.99
USD"
Orbic AI,https://orbic.ai/login?callbackUrl=https%3A%2F%2Forbic.ai%2Fsubmit%2Ftools,5,Free,100,https://orbic.ai/?ref=aidirectori.es,
Tiny Startups,https://tally.so/r/wMzP8X,4.4,Free,100,https://www.tinystartups.co/?ref=aidirectori.es,
Thttps://trackbes.com/,https://trackbes.com/submit-tool?ref=aidirectori.es,4,Free,20k,https://trackbes.com/?ref=aidirectori.es,
Hhttps://www.humanornot.co/,https://www.humanornot.co/submit-tool,3.5,Free,10K,https://www.humanornot.co/,
Future AGI tools,https://www.futureagitools.com/submit-a-site,3.5,Free,5K,https://www.futureagitools.com,
Find Cool Tools,https://findcool.tools/submit-tool,3.1,Paid,2300,https://findcool.tools/?ref=aidirectori.es,"$1.99 /month, $19.99 /year"
MicroStartups,https://www.microstartups.co/list-your-startup?ref=aidirectori.es,3.1,Free,,https://www.microstartups.co/?ref=aidirectori.es,
AI Top Picks,https://www.aitoppicks.com/?ref=aidirectori.es,2.8,Paid,5800,https://www.aitoppicks.com/?ref=aidirectori.es,$49.99 
Invent List,https://inventlist.com/sites/new,2.5,Free,200,https://inventlist.com/,
SaasBaba,https://saasbaba.com/add-ai-tool/,2.5,Free,9.0K,https://saasbaba.com/,
100 AI Apps,https://100apps.org/,2,Paid,1k,https://100apps.org/,"Annual: $34.99, Monthly: $3.99"
AI Tools Up,https://aitoolsup.com/submit-tool/?ref=aidirectori.es,2,Free,700,https://aitoolsup.com/?ref=aidirectori.es,
One Hub AI,https://www.onehubai.com/,1.6,Paid,4600,https://www.onehubai.com/,
Free AI Apps,https://freeappsai.com/add/?ref=aidirectories,1.5,Paid,400,https://freeappsai.com/?ref=aidirectories,
Instant,https://instantai.io/submit-listing/,1.3,,35000,https://instantai.io/,
Ihttps://intersys.ai/submit,https://intersys.ai/submit?ref=aidirectori.es,1,Free,100,https://intersys.ai/?ref=aidirectori.es,
Tool Summary,https://toolsummary.com/submit-ai-tool/?ref=aidirectori.es,1,Free,100,https://toolsummary.com/?ref=aidirectori.es,
http://1000gpt.shop/,https://buy.stripe.com/dR6eVi1lRgj9bsY4gg,1,Paid,1K,https://1000gpt.shop/?ref=aidirectori.es,"$0.99
per
month"
Sick Tools,https://tally.so/r/wvY09d,0,Free,100,https://www.sick.tools/,