name,site,dr,,traffic
G2,https://www.g2.com/products/new,98,Free,3.2M
Source Forge,https://sourceforge.net/software/vendors/new?ref=aidirectori.es,92,Free,2.5M
AI Tools Neil Patel,https://aitools.neilpatel.com/submit/?ref=aidirectori.es,91,Free,6K
AI Infinity,https://forms.gle/Ze6pdWzmweCfKWnLA,90,Free,2K
Startup88,https://startup88.typeform.com/to/CRjWqM,88,Free,1000
FinancesOnline,https://financesonline.com/add-product/?ref=aidirectories,87,Free,1.5M
F6S,https://www.f6s.com/?ref=aidirectori.es,86,Free,1600000
Your Story,https://eu.frms.link/g4juley/?ref=aidirecori.es,86,Free,
8.5M,,,,
AlternativeTo,https://alternativeto.net/manage-item/?ref=aidirectori.es,80,Free,1.3M
Crunchbase,https://www.crunchbase.com/add-new/?ref=aidirectori.es,80,Free,10M
Stackshare,https://stackshare.io/submit/?ref=aidirectories,79,Free,1.6M
Webwiki,https://www.webwiki.com/info/add-website.html,77,Free,15K
Alternative,https://alternative.me/how-to/submit-software/,77,Free,2.0M
Digital Agency Network,https://digitalagencynetwork.com/join-free-listing-tools/,76,Free,528K
EU Startups,https://www.eu-startups.com/directory/?wpbdp_view=submit_listing,76,Free,323K
Software World,https://www.softwareworld.co/vendor/listing/create/,75,Free,65000
Product Hunt,https://www.producthunt.com/posts/new,75,Free,6.0M
SaasWorthy,https://www.saasworthy.com/offerings,72,Free,172000
Getlatka,https://getlatka.com/saas-companies?ref=aidirectories,71,Free,20000
Sitelike,https://www.sitelike.org/add-site/?ref=aidirectori.es,70,Free,1.3M
Beta List,https://betalist.com/submissions/new,70,Free,180k
SaasHub,https://www.saashub.com/submit,68,Free,1.6M
SideProjectors,https://www.sideprojectors.com,67,Free,52600
Startup Ranking,https://www.startupranking.com/startup/create/url-validation?ref=aidirectori.es,67,Free,25k
Pitchwall,https://pitchwall.co/product/submit?ref=aidirectories,64,Free,59000
Submission Web Directory,https://www.submissionwebdirectory.com/submit.php,64,Free,10K
SoMuch,https://somuch.com/submit-links/,64,Free,10600
Marketing Internet Directory,https://www.marketinginternetdirectory.com/submit.php,61,Free,
GPTs Hunter,https://www.gptshunter.com/submit-gpt?ref=aidirectori.es,59,Free,400000
KitPloit,https://www.kitploit.com/p/submit-tool.html?ref=aidirectories,57,Free,2.5M
Afford Hunt,https://www.affordhunt.com/submit,56,Free,80k
Business Software,https://www.business-software.com/add-your-product/,55,Free,100K
AITOOLS,https://aitools.inc/submit,53,Free,
FiveTaco,https://fivetaco.com/submit,53,Free,106000
uneed,https://www.uneed.best/submit-a-tool,52,Free,
Launching Next,https://www.launchingnext.com/submit/,51,Free,13000
Tool Pilot,https://www.toolpilot.ai/pages/submit-your-ai-tool,51,Free,600K
,,,,
,,,,
Startup Base,https://startupbase.io/submissions/start?ref=aidirectori.es,50,Free,3000
TechPluto,https://www.techpluto.com/submit-startup?ref=aidirectori.es,47,Free,
EZWeb Directory,http://ezwebdirectory.com/item/new,47,Free,3500
Ismailblogger,https://ismailblogger.com/submit-tools/?ref=aidirectori.es,46,Free,10K
Future Tools,https://www.futuretools.io/submit-a-tool,44,Free,3.0M
Hacker News,https://hackernews.com/,44,Free,300K
StartupTracker,https://startuptracker.io/crowdsourcing/,44,Free,12500
Tiny Startups,https://tally.so/r/wMzP8X,44,Free,10000
100L5,https://10015.io/product-finder/submit,41,Free,
Insidr AI,https://www.insidr.ai/submit-tools/,40,Free,150k
Resource fyi,https://resource.fyi/account/submit/?ref=aidirecori.es,39,Free,5k
Ben's Bites News,https://news.bensbites.com/submit,39,Free,13K
Startup Buffer,https://startupbuffer.com/site/submit,39,Free,16K
AlterOpen,https://alteropen.com/submit/pack?ref=aidirectori.es,39,Free,2000
Launched,https://launched.io/SubmitStartup,38,Free,2.4K
AI Library,https://library.phygital.plus/tool-submission?ref=aidirectories,38,Free,255K
ToolsFine,https://tally.so/r/3qVzOG,38,Free,34K
Dockey AI,https://dokeyai.com/submit?ref=aidirecotri.es,37,Free,3900
Paggu,https://www.paggu.com/submit-your-startup/,35,Free,1000
BroUseAI,https://www.brouseai.com/submission/ai,35,Free,31000
PromoteProject,https://www.promoteproject.com/login,34,Free,5000
Startup Lister,https://startuplister.com/?utm_source=aidirectori.es,33,Free,
AllStartups Info,https://www.allstartups.info/Startups/Submit?ref=aidirectories,33,Free,17K
Anyfp,https://anyfp.com/contact/?ref=aidirectori.es,33,Free,1000
Saas AI Tools,https://saasaitools.com/submit/,33,Free,73000
,,,,
,,,,
Robingood,https://tools.robingood.com/?ref=aidirecori.es,33,Free,5600
Crazy About Startups,https://crazyaboutstartups.com/share-your-startup-2,33,Free,5K
That AI Collection,https://www.thataicollection.com/submit/,32,Free,34000
AI Tool guru,https://aitoolguru.com/submit-ai-tool,31,Free,27K
Open Future,https://openfuture.ai/submit-tool?ref=aidirectori.es,31,Free,496K
DEV Resources,https://github.com/marcelscruz/dev-resources,31,Free,2.7K
Mars AI directory,https://www.marsx.dev/ai-startups,30,Free,90K
ChatGPT demo,https://chatgptdemo.com/submit-new-ai-tool/?ref=aidirectori.es,30,Free,400K
Saas Po,https://www.saaspo.com/submit?ref=aidirectori.es,29,Free,69K
What the AI,https://whattheai.tech/submit-a-tool/,28,Free,50000
Next Gen Tools,https://nextgentools.me/submit-your-tool?ref=aidirecories,27,Free,47K
TipSeason,https://tipseason.com/ai-tools/submit?ref=aidirectori.es,27,Free,30000
Gate2AI,https://www.gate2ai.com/submit-tool?ref=aidirectories,27,Free,129K
THE NEXT AI TOOL,https://thenextaitool.com/,26,Free,
Early Tools,https://www.early.tools/submit,26,Free,
Favird,https://favird.com/?ref=aidirectori.es,26,Free,30000
Dev Pages,https://www.devpages.io/submit-a-tool,26,Free,50K
Bestwebsites,https://bestwebsites.info/en/submit,25,Free,
Promptzone,https://www.promptzone.com/new,25,Free,
GptDemo.net,https://www.gptdemo.net/gpt/add-tool,25,Free,
Startup Stage,https://startupstage.app/startups/new?ref=aidirectori.es,25,Free,3000
Startups fyi,https://tally.so/r/3lOGLk,25,Free,13000
Educator Tools,https://docs.google.com/forms/d/e/1FAIpQLSdXXbiHAdQTWUSzLvU6xw-asbIoppIiQo0W9PuZLw2DnkhKew/viewform?usp=send_for,25,Free,131000
AI Valley,https://aivalley.ai/submit-tool/?ref=aidirectories,25,Free,230K
BestOfAI,https://bestofai.com/tool/add,25,Free,1K
RayDay,https://raiday.ai/submit-ai-tool/,25,Free,134000
AI Mojo,https://aimojo.io/submit/,23,Free,
Simple Lister,https://simplelister.com/submit,23,Free,
Lachief,https://tally.so/r/w4Jb4b,23,Free,266K
Startup Collections,https://startupcollections.com/submit-product/?ref=aidirectories,22,Free,5000
Startup Roulette,https://startuproulette.com/promote-my-startup,21,Free,0
Apps and Websites,https://landing.mycloudmedia.co.uk/apps-and-websites-submit-ai-or-saas-tool/new-submission.html?ref=aidirectori.es,21,Free,<5K
The AI Library,https://www.theailibrary.co/account/tools/new,21,Free,19.3K
Advanced Innovation,https://www.advanced-innovation.io/ki-tool-einreichen?ref=aidirectories,20,Free,25K
Super Tools,https://supertools.therundown.ai/submit,20,Free,380k
BPLDIRECTORY.info,https://blpdirectory.info/submit.php?LINK_TYPE=2,19,Free,
Micro Launch,,,,
,https://tally.so/r/mYaR6N,19,Free,60K
Site-Plus,https://www.sites-plus.com/submit?c=96&LINK_TYPE=9,18,Free,
ChatGate AI,https://chatgate.ai/submit-your-tool/,18,Free,<5K
Critiqs AI,https://critiqs.ai/submit-new-ai-tool/?ref=aidirectori.es,17,Free,2000
PayOnceApps,https://payonceapps.com/add-your-app/,16,Free,
Pay Once Alternatives,https://payoncealternatives.com/submit,16,Free,
AppRater,https://apprater.net/add/,15,Free,
AI to Grow,https://aitogrow.com/#send-your-tool/?ref=aidirectories,15,Free,5K
Tools.so,https://tools.so/submit,15,Free,N/A
riseofmachine,https://docs.google.com/forms/d/e/1FAIpQLSf_bdfoMR7WkMfqWa4zDfBIFrYhz12lQCBWQHFlZ9UewHhzgg/viewform,14,Free,
Gpt Forge,https://forms.gle/8h1SokDHfcPwkbaZ8,14,Free,41K
AI tools for Marketing,https://airadar.getinference.com/,14,Free,50k
Wailworld,https://waildworld.com/,13,Free,
Tool Battles,https://toolbattles.com/submit-product/,12,Free,
Live Apps,https://liveapps.ai/become-a-partner/?ref=aidirectori.es,12,Free,500
AI Marketing,https://aimarketing.directory/submit,12,Free,9.6K
NextGenTool,https://nextgentool.io/submit/?ref=aidirecories,12,Free,300
AI Depot,https://aidepot.co/?ref=aidirectories,11,Free,30K
The ai Generation,https://www.theaigeneration.com/add/,11,Free,77K
Nextpedia,https://www.nextpedia.io/submit-tool/?ref=aidirecories,11,Free,8000
AI Tools Hunter,https://ai-hunter.io/submit-ai-tool/,11,Free,25K
AI Directory,https://www.aidirectory.org/user-submit/,10,Free,5.7K
The Hack Stack,https://thehackstack.com/,10,Free,5000
AI Tool Net,https://www.aitoolnet.com/submit,10,Free,21K
AI tools directory,https://aitoolsdirectory.com/submit-tool,10,Free,25K
ToolScout,https://toolscout.ai/submit,10,Free,23K
Faind AI,https://faind.ai/submit-a-tool/,10,Free,5K
Best AI Tools,https://www.startupaitools.com/submit-ai-tools/,10,Free,900
Tools AI Online,https://www.tools-ai.online/tool-submit?ref=aidirectories,8,Free,67K
AI Tools Arena,https://aitoolsarena.com/,8,Free,700
AI Top Rank,https://www.aitoprank.com/,8,Free,5k
Tool AI,https://toolai.io/Login?ReturnUrl=%2Fen%2Fsubmit%3Fref%3Daidirectories,7,Free,75000
Every AI,https://every-ai.com/submit-tool/,7,Free,100
Look AI Tools,https://lookaitools.com/submission-service/?ref=aidirectori.es,6,Free,130
Orbic AI,https://orbic.ai/login?callbackUrl=https%3A%2F%2Forbic.ai%2Fsubmit%2Ftools,5,Free,100
Tiny Startups,https://tally.so/r/wMzP8X,4.4,Free,100
Trackbes,https://trackbes.com/submit-tool?ref=aidirectori.es,4,Free,20k
Future AGI tools,https://www.futureagitools.com/submit-a-site,3.5,Free,5K
Human or not,https://www.humanornot.co/submit-tool,3.5,Free,10K
MicroStartups,https://www.microstartups.co/list-your-startup?ref=aidirectori.es,3.1,Free,
SaasBaba,https://saasbaba.com/add-ai-tool/,2.5,Free,9.0K
Invent List,https://inventlist.com/sites/new,2.5,Free,200
AI Tools Up,https://aitoolsup.com/submit-tool/?ref=aidirectori.es,2,Free,700
Intersys,https://intersys.ai/submit?ref=aidirectori.es,1,Free,100
Tool Summary,https://toolsummary.com/submit-ai-tool/?ref=aidirectori.es,1,Free,100
Sick Tools,https://tally.so/r/wvY09d,0,Free,100
